KBF13,COCONUT DRY POWDER,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KBF14,GIRI GOLA /COCONUT WHOLE DRY,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,10 pc,10 pc,,,,
KBF15,ROASTED CHANA,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KBF16,TIL /SESSME SEED WHITE ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,1.500,,,,
KBF17,JAGGERRY,BF Essentials,818,813,669,669,,,LOCAL - RASHAN,,96,,,,1.000,2.000,,,,
KC1,PASTA( FUSSILLI),Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,2.500,,,,
KC2,PASTA ( PENNE),Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,2.500,,,,
KC3,PASTA (FLAT) FETTUCNNI),Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,2.500,,,,
KC4,PASTA (MACRONNI),Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,2.500,,,,
KC5,SPAGHATTI,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,2.500,,,,
KC6,HAKKA NOODLES ,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,2.500,,,,
KC7,SOYA SAUCE,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,2.000,,,,
KC8,VINEGAR ,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KC9,GREEN CHILLI SAUCE,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,2.000,,,,
KC10,TOBASCO SAUCE,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,1.000,,,,
KC11,SCHEZWAN SAUCE ,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,1.000,,,,
KC12,MUSTARD SAUCE ,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.500,1.000,,,,
KC13,AJEENO MOTO,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,1.000,,,,
KC14,AGAR AGAR,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.200,0.200,,,,
KC15,AMUL CHEESE BLENDS 1KG,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,3.000,3.000,,,,
KC16,BAKED BEANS,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,2.000,,,,
KC17,FRENCH FRY,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,6.000,10.000,,,,
KC18,SWEETCORN FROZEN,Continental,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,5.000,6.000,,,,
