HC,HOT CHOCOLATE ,777,810,672,672,130,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
BNV,BOURNVITA ,777,810,672,672,130,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
CC4,COLD COFFEE ,777,811,672,672,140,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
L6,LASSI ( A THICK SHAKS OF YOGHURT IN TRADITIONAL INDIAN STYLE),777,811,672,672,130,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
FL1,"FRUIT LASSI ( LASSI WITH CHOICE OF FRUITS LIKE APPLE, BANANA. PINEAPPLE , MANGO ) ",777,811,672,672,170,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
VSS,VANILLA SHAKS ,777,811,672,672,140,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
FH,FRUIT SHAKS ,777,811,672,672,140,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
IT,ICE TEA ,777,811,672,672,140,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
LIT,LEMON ICE TEA ,777,811,672,672,140,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
MWS,MINERAL WATER ,777,812,672,672,70,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
FLW1,FRESH LIME WATER ,777,812,672,672,50,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
FLS1,FRESH LIME SODA ,777,812,672,672,70,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
PS1,PLAIN SODA ,777,812,672,672,70,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
SDSS,"SOFT DRINKS ( COCACOLA , LIMCA, SPRITE)",777,812,672,672,70,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
TWW,TONIC WATER ,777,812,672,672,110,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
FJJ,FRESH JUICE ( SEASONAL ) ,777,812,672,672,110,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
DCC,DIET COKE ,777,812,672,672,110,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
GAWW,GINGER ALE WATER ,777,812,672,672,110,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
GGG,GINGER ( TRADITIONAL INDIAN TEA WITH GINGER FLAVOR),778,813,672,672,100,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
C2,CARDAMOM ( TRADITIONAL INDIAN TEA WITH  CARDAMOM FLAVOR ),778,813,672,672,100,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
M2,MASALA ( TRADITIONAL INDIAN TEA WITH INDIAN HERBS & SPECIES ),778,813,672,672,125,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
K6,KAHVA ( SPECIALTY TEA FROM KASHMIR ),778,814,672,672,100,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
DGN,DARJEELING / GREEN/ NILGIRI ,778,814,672,672,75,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
LEG,LEMON / EARL GREY ,778,814,672,672,75,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
MJC,MINT / JASMINE/ CINNAMON ,778,814,672,672,100,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
CB,CARDAMOM/ BASIL ,778,814,672,672,100,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
BE,BASIC  ESPRESSO ,788,815,672,672,80,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
ER,ESPRESSO RISTRETTO,788,815,672,672,80,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
DD,DOPPIO ,788,815,672,672,100,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
AA,AMERICANO ,788,815,672,672,100,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
EM,ESPRESSO MACCHIATO ,788,815,672,672,80,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
EB,ESPRESSO BREVE,788,815,672,672,90,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
BCO,BASIC CAPPUCCINO ,788,815,672,672,110,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
BCL,BASIC CAFE LATTE ,788,815,672,672,120,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
MO,MOCHACCINO,788,815,672,672,130,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
CM,CAFE MOCHA ,788,815,672,672,130,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
CCOR,CAFE CONQUISTADOR,788,815,672,672,390,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
CRLE,CAPPUCCINO ROYALE ,788,815,672,672,390,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
CNON,CAFE NAPOLEON,788,815,672,672,390,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
EC,ESPRESSO COOLERS ,788,815,672,672,110,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
IEO,IGLOO ESPRESSO ,788,815,672,672,140,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
GET,GIMLET ,789,816,672,672,460,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
BMY,BLOOD MARY,789,816,672,672,460,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
RPH,RUM PUNCH,789,816,672,672,460,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
SDR,SCREW DRIVER ,789,816,672,672,460,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
DI,DAIQUIRI,789,816,672,672,460,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
WLY,WHITE LADY,789,816,672,672,460,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
WS,WHISKY  SOUR ,789,816,672,672,460,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
MTO,MOJITO ,789,816,672,672,460,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
LSA,LITCHI CRIMOSA ( SODA BASED DRINKS WITH LITCHI ) ,789,817,672,672,130,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
MDA,MANGO COLADA ( A THICK MANGO SHAKE TOPPED WITH WHIPE CREAM) ,789,817,672,672,140,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
MPE,MENTHOL PINEAPPLE (PINEAPPLE JUICE WITH CRUSHED ICE AND MINT FLAVOR ),789,817,672,672,140,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
FP,FRUIT PUNCH ( COMBINATION OF JUICE WITH SODA & ICE CREAM ) ,789,817,672,672,140,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
