Item Code,Item,Item Type,Item Group Main,Item Group,Item Main Unit,Item Alt Unit,Purchase Account Local,Purchase Account Interstate,Store,Conversion Qty,Min Qty,Max Qty,Rol,Roq,Item Class,Open Qty,Open Amount,Last Purchase Rate,Stock Enable Disable,Edit Name Enable Disable,Item Production Item,Item Allowed Additional,Item Disable,Purchase Rate,Batch Details,Item Details,Display Order,Status,Creation Date,Modified Date,Created By,Modified By
168,Arvi,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
169,Bataiva,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
170,Red Cherry Tomato,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
171,Tomato ,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
172,Chilli Green,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
173,Brinjal Long,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
174,Brinjal Long,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
175,Chilli Red Local,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
176,Chill Red Local,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
177,Sweet Potato,Ingredients,Vegtables,Vegtables,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
